717,5174,3978
443219,6719,5174,3981
443220,6717,5173,3976
443221,6716,5171,3971
443222,6718,5178,3972
443223,6720,5167,4224
443224,6709,5174,3950
443225,6717,5172,3982
443226,6721,5176,3974
443227,6714,5171,3980
443228,6719,5172,3978
443229,6716,5173,3979
443230,6717,5175,3976
443231,6718,5175,3976
443232,6718,5174,3970
443233,6718,5175,3972
443234,6718,5172,3975
443235,6719,5170,3975
443236,6717,5174,3973
443237,6718,5174,3976
443238,6711,5171,3983
443239,6717,5173,3975
443240,6718,5176,3977
443241,6719,5176,3975
443242,6718,5172,3981
443243,6724,5173,3561
443244,6722,5172,3948
443245,6719,5175,3984
443246,6715,5172,3973
443247,6719,5176,3975
443248,6719,5172,3974
443249,6718,5167,3978
443250,6717,5177,3974
443251,6719,5175,3973
443252,6710,5173,3980
443253,6718,5174,3978
443254,6721,5173,3978
443255,6715,5174,3985
443256,6718,5172,3975
443257,6722,5171,3966
443258,6723,5171,3979
443259,6718,5174,3976
443260,6717,5176,3975
443261,6717,5173,3975
443262,6722,5176,3976
443263,6712,5165,3682
443264,6717,5175,3998
443265,6720,5178,3973
443266,6717,5170,3983
443267,6720,5175,3979
443268,6720,5172,3974
443269,6718,5174,3983
443270,6718,5175,3976
443271,6719,5175,3972
443272,6715,5178,3972
443273,6715,5175,3985
443274,6720,5174,3975
443275,6721,5175,3980
443276,6716,5175,3982
443277,6707,5172,3981
443278,6719,5170,3982
443279,6721,5172,3978
443280,6717,5173,3981
443281,6718,5176,3977
443282,6721,5176,3973
443283,6724,5171,4009
443284,6718,5174,3963
443285,6716,5174,3968
443286,6717,5175,3980
443287,6719,5176,3977
443288,6716,5170,3979
443289,6720,5174,3974
443290,6713,5177,3972
443291,6717,5169,3972
443292,6720,5173,3979
443293,6719,5174,3981
443294,6718,5171,3979
443295,6722,5173,3974
443296,6718,5176,3979
443297,6722,5169,3976
443298,6718,5175,3977
443299,6718,5165,3977
443300,6724,5178,3979
443301,6717,5174,3976
443302,6721,5170,3981
443303,6722,5176,4055
443304,6721,5178,3971
443305,6717,5178,3978
443306,6718,5172,3980
443307,6718,5175,3975
443308,6719,5176,3973
443309,6719,5176,3978
443310,6720,5174,3969
443311,6718,5173,3974
443312,6718,5176,3976
443313,6718,5168,3968
443314,6716,5177,3976
443315,6722,5169,3982
443316,6724,5171,3978
