3,5177,3969
336237,6718,5174,3976
336238,6718,5175,3983
336239,6714,5175,3984
336240,6718,5174,3979
336241,6718,5174,3976
336242,6716,5176,3979
336243,6720,5174,3979
336244,6720,5174,3976
336245,6718,5175,3975
336246,6719,5176,3981
336247,6721,5168,3979
336248,6720,5175,3977
336249,6723,5174,3974
336250,6719,5172,3975
336251,6715,5175,3977
336252,6719,5179,3975
336253,6719,5173,3981
336254,6717,5164,4083
336255,6716,5175,4017
336256,6719,5173,3969
336257,6718,5173,3972
336258,6718,5171,3970
336259,6717,5175,3978
336260,6717,5175,3975
336261,6720,5166,3974
336262,6721,5177,3983
336263,6716,5176,3977
336264,6721,5169,3975
336265,6715,5174,3974
336266,6721,5179,3969
336267,6717,5176,3978
336268,6717,5174,3972
336269,6720,5171,3965
336270,6720,5176,3976
336271,6720,5176,3983
336272,6717,5171,3978
336273,6718,5176,3974
336274,6731,5176,3617
336275,6720,5178,4036
336276,6719,5177,3978
336277,6716,5175,3980
336278,6717,5174,3983
336279,6723,5178,3978
336280,6719,5173,3978
336281,6718,5176,3977
336282,6716,5172,3975
336283,6719,5175,3970
336284,6720,5173,3977
336285,6716,5175,3979
336286,6721,5166,3976
336287,6719,5175,3988
336288,6721,5175,3980
336289,6719,5171,3978
336290,6717,5174,3979
336291,6719,5176,3978
336292,6719,5177,3982
336293,6720,5178,3981
336294,6727,5167,4046
336295,6719,5173,3970
336296,6719,5176,3977
336297,6718,5169,3973
336298,6719,5176,3977
336299,6720,5174,3979
336300,6719,5169,3975
336301,6718,5173,3975
336302,6716,5173,3978
336303,6718,5168,3976
336304,6719,5175,3978
336305,6720,5179,3982
336306,6717,5176,3975
336307,6717,5176,3980
336308,6718,5177,3972
336309,6720,5174,3978
336310,6719,5173,3980
336311,6719,5165,3974
336312,6719,5172,3978
336313,6719,5175,3978
336314,6718,5174,3964
336315,6721,5174,4030
336316,6718,5174,3971
336317,6718,5179,3978
336318,6718,5179,3982
336319,6717,5175,3974
336320,6718,5177,3982
336321,6718,5176,3976
336322,6720,5177,3968
336323,6721,5173,3976
336324,6714,5176,3975
336325,6719,5170,3975
336326,6718,5182,3973
336327,6722,5174,3980
336328,6718,5171,3979
336329,6721,5170,3979
336330,6719,5175,3977
336331,6718,5175,3979
336332,6718,5175,3980
336333,6720,5172,3973
336334,6721,5171,4041
336335,6721,5175,4013
336336,6720,5170,3967
336337,6719,5175,3977
336338,6719,5174,3980
336339,6721,5167,3976
336340,6719,5178,3976
336341,6719,5175,3979
336342,6718,5175,3976
336343,6721,5177,3979
336344,6719,5174,3976
336345,6720,5172,3976
336346,6716,5176,3982
336347,6722,5179,3970
336348,6722,5174,3985
336349,6717,5178,3977
336350,6718,5175,3967
336351,6719,5174,3979
336352,6722,5173,3979
336353,6720,5171,3971
336354,6723,5175,3959
336355,6712,5174,3982
336356,6718,5175,3975
336357,6720,5175,3969
336358,6720,5176,3970
336359,6721,5176,3977
336360,6718,5177,3977
336361,6720,5166,3978
336362,6720,5174,3977
336363,6717,5174,3976
336364,6719,5169,3977
336365,6718,5174,3984
336366,6720,5178,3981
336367,6718,5171,3973
336368,6724,5176,3978
336369,6721,5178,3974
336370,6719,5177,3975
336371,6720,5174,3977
336372,6720,5174,3971
336373,6721,5172,3980
336374,6720,5177,3994
336375,6719,5175,3940
336376,6721,5173,3983
336377,6720,5176,3976
336378,6719,5170,3969
336379,6719,5178,3974
336380,6718,5171,3975
336381,6718,5174,3979
336382,6721,5176,3976
336383,6719,5177,3970
336384,6720,5175,3981
336385,6719,5174,3982
336386,6721,5173,3972
336387,6719,5174,3980
336388,6719,5176,3978
336389,6720,5168,3974
336390,6719,5172,3978
336391,6719,5175,3979
336392,6720,5171,3972
336393,6723,5174,3976
336394,6720,5174,3968
336395,6717,5176,3991
336396,6719,5176,3978
336397,6722,5172,3964
336398,6720,5178,3971
336399,6718,5174,3974
336400,6720,5168,3974
336401,6718,5175,3978
336402,6721,5174,3978
336403,6720,5168,3981
336404,6720,5175,3978
336405,6717,5175,3976
336406,6716,5177,3974
336407,6721,5173,3977
336408,6718,5174,3971
336409,6720,5174,3978
336410,6719,5177,3982
336411,6719,5174,3976
336412,6718,5178,3980
336413,6721,5176,3982
