720,5165,3971
637633,1817,5172,3978
637634,1822,5173,3974
637635,1814,5174,3977
637636,1816,5177,3980
637637,1811,5170,3970
637638,1825,5173,3977
637639,1816,5170,3978
637640,1817,5169,3972
637641,1818,5174,3975
637642,1828,5168,3974
637643,1814,5171,3976
637644,1818,5171,3979
637645,1819,5175,3973
637646,1822,5168,3978
637647,1805,5175,3981
637648,1833,5183,3978
637649,1827,5177,3980
637650,1817,5171,3978
637651,1817,5173,3972
637652,1825,5172,3979
637653,1820,5178,3970
637654,1818,5166,3971
637655,1816,5176,3980
637656,1810,5174,3979
637657,1818,5171,3973
637658,1822,5177,3978
637659,1812,5173,3980
637660,1817,5175,3981
637661,1819,5174,3970
637662,1818,5174,3973
637663,1819,5154,3968
637664,1805,5169,3982
637665,1817,5162,3980
637666,1825,5177,3976
637667,1815,5172,3979
637668,1817,5168,3982
637669,1822,5171,3978
637670,1818,5185,3976
637671,1821,5173,3978
637672,1818,5175,3972
637673,1820,5169,3977
637674,1816,5173,3978
637675,1814,5173,3981
637676,1816,5173,3973
637677,1815,5173,3975
637678,1825,5171,3973
637679,1815,5167,3974
637680,1830,5158,3491
637681,1815,5161,3973
637682,1822,5172,3977
637683,1816,5171,3978
637684,1839,5181,3980
637685,1838,5186,3977
637686,1819,5170,3973
637687,1814,5177,3979
637688,1806,5176,3976
637689,1818,5175,3971
637690,1825,5166,3970
637691,1818,5170,3973
637692,1815,5175,3978
637693,1814,5172,3970
637694,1818,5183,3971
637695,1820,5174,3976
637696,1819,5173,3980
637697,1798,5173,3978
637698,1815,5172,3975
637699,1817,5174,3984
637700,1813,5171,3981
637701,1816,5174,3969
637702,1824,5191,3983
637703,1821,5170,3978
637704,1815,5171,3976
637705,1816,5172,3978
637706,1820,5189,3982
637707,1821,5169,3987
637708,1819,5171,3986
637709,1814,5170,3979
637710,1816,5170,3983
637711,1825,5171,3981
637712,1805,5169,3974
637713,1819,5174,3986
637714,1817,5173,3977
637715,1817,5169,3973
637716,1830,5170,3979
637717,1823,5185,3980
637718,1819,5168,3978
637719,1816,5178,3975
637720,1819,5175,3971
637721,1817,5171,3981
637722,1818,5177,3974
